PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC09_GRADTECH,PUFC11_WORK,PUFC14_PROCC,PUFC17_NATEM,PUFC18_PNWHRS,PUFC19_PHOURS,PUFC23_PCLASS,PUFC41_WQTR,PUFNEWEMPSTAT
1,54,2,14,0,1,25,1,8,40,0,2,0
0,56,2,12,0,1,25,1,1,7,4,2,0
0,21,3,20,0,1,42,2,6,30,2,2,0
1,28,2,4,0,1,25,1,6,42,4,2,0
0,24,2,14,0,0,43,3,0,0,5,0,1
1,33,2,12,0,1,25,1,10,30,4,2,0
0,36,2,14,0,1,25,1,2,14,4,2,0
1,62,1,20,0,1,25,1,14,42,4,2,0
1,45,2,14,0,1,25,1,8,0,0,2,0
0,41,2,12,1,1,1,2,8,48,7,2,0
0,21,3,20,0,0,43,3,0,0,5,2,2
1,16,3,13,0,1,1,2,8,40,7,0,0
1,30,2,4,0,1,25,1,8,48,4,2,0
0,26,2,13,0,1,1,2,8,32,2,2,0
1,40,2,4,0,1,25,1,15,60,4,2,0
0,37,2,4,0,1,1,2,8,32,7,2,0
1,27,2,4,0,0,43,3,0,0,5,0,1
1,50,2,4,0,1,25,1,8,48,4,2,0
0,46,2,4,0,0,43,3,0,0,5,0,1
0,24,2,4,0,0,43,3,0,0,5,0,1
1,30,2,5,0,0,43,3,0,0,5,2,2
1,37,2,6,0,1,25,1,2,14,4,2,0
0,36,2,4,0,1,8,1,8,32,3,2,0
0,17,3,14,0,0,43,3,0,0,5,1,1
1,37,2,4,0,1,25,1,4,28,4,2,0
0,38,2,4,0,1,1,2,8,32,2,2,0
0,18,3,14,0,1,8,2,10,60,3,2,0
0,17,3,13,0,1,8,2,10,60,3,2,0
1,15,3,9,0,0,43,3,0,0,5,1,1
0,59,5,4,0,0,43,3,0,0,5,0,1
1,28,2,12,0,1,22,0,8,48,2,2,0
0,24,2,14,0,1,25,1,1,7,4,2,0
1,21,3,14,0,1,35,1,8,48,2,2,0
1,66,2,4,0,1,25,1,8,24,0,2,0
0,62,2,4,0,1,36,1,4,8,4,2,0
0,19,3,3,0,0,43,3,0,0,5,1,1
1,44,2,14,0,1,25,1,8,40,4,2,0
0,42,2,14,0,1,1,2,8,24,7,2,0
1,29,2,8,0,1,22,0,8,48,2,2,0
0,28,2,11,0,1,1,2,8,8,2,2,0
1,54,2,4,0,1,25,1,4,20,4,2,0
0,42,2,4,0,1,1,2,8,24,2,2,0
0,55,3,15,0,0,43,3,0,0,5,1,1
1,30,2,20,0,1,25,1,1,7,0,2,0
0,30,2,20,0,0,43,3,0,0,5,1,1
1,70,3,5,0,1,1,2,8,24,2,2,0
1,41,2,4,0,1,22,0,8,48,2,2,0
0,49,2,14,0,1,36,1,4,28,4,2,0
0,79,5,5,0,0,43,3,0,0,5,1,1
0,51,5,14,0,1,36,1,4,28,4,2,0
0,28,3,4,0,1,1,2,8,24,2,2,0
1,18,3,4,0,1,22,2,8,56,2,2,0
1,46,2,14,0,1,25,1,2,14,4,2,0
1,23,2,14,0,1,22,2,8,56,2,2,0
1,40,2,15,0,1,22,2,8,48,2,2,0
0,39,2,4,0,0,43,3,0,0,5,2,1
1,34,2,12,0,1,26,1,4,16,4,2,0
0,39,2,14,0,0,43,3,0,0,5,2,1
1,32,2,14,0,1,26,1,3,9,4,2,0
0,40,2,14,0,1,1,1,8,8,2,2,0
1,71,2,4,0,1,26,1,3,9,4,2,0
1,31,2,20,0,1,25,1,4,20,0,2,0
0,43,2,20,0,1,25,1,1,7,4,2,0
0,78,5,15,0,0,43,3,0,0,5,1,1
1,60,2,4,0,1,25,1,8,48,4,2,0
0,51,2,4,0,1,25,1,1,7,4,2,0
1,24,3,9,0,1,1,2,4,24,7,2,0
1,21,3,7,0,1,1,2,4,24,7,2,0
1,18,3,14,0,1,8,2,8,48,3,2,0
1,31,3,14,0,1,1,2,4,24,7,2,0
1,50,2,4,0,1,25,1,8,40,0,2,0
0,52,2,14,0,1,25,1,1,7,4,2,0
1,21,2,14,0,1,36,1,8,40,2,2,0
0,22,2,3,0,0,43,3,0,0,5,1,1
0,58,5,4,0,0,43,3,0,0,5,1,1
1,35,2,14,1,1,22,1,8,40,1,2,0
0,34,2,14,0,0,43,3,0,0,5,1,1
1,33,2,20,1,1,27,1,8,16,4,2,0
0,25,2,2,0,1,31,1,4,4,1,2,0
1,59,2,8,0,1,25,1,8,40,0,2,0
